name,map_type,nonzero_voxels,min,max,recommended_for_mricrogl,reason,file
common_appraisal_after_cluster_AHAB.nii.gz,binary_system_mask,24848,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/common_appraisal_after_cluster_AHAB.nii.gz
common_appraisal_after_cluster_PIP.nii.gz,binary_system_mask,5640,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/common_appraisal_after_cluster_PIP.nii.gz
common_appraisal_before_cluster_AHAB.nii.gz,binary_system_mask,24927,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/common_appraisal_before_cluster_AHAB.nii.gz
common_appraisal_before_cluster_PIP.nii.gz,binary_system_mask,5738,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/common_appraisal_before_cluster_PIP.nii.gz
common_appraisal_consensus_AHAB_PIP.nii.gz,binary_system_mask,18489,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/common_appraisal_consensus_AHAB_PIP.nii.gz
modifiable_emotion_after_cluster_AHAB.nii.gz,binary_system_mask,14662,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/modifiable_emotion_after_cluster_AHAB.nii.gz
modifiable_emotion_after_cluster_PIP.nii.gz,binary_system_mask,5775,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/modifiable_emotion_after_cluster_PIP.nii.gz
modifiable_emotion_before_cluster_AHAB.nii.gz,binary_system_mask,14796,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/modifiable_emotion_before_cluster_AHAB.nii.gz
modifiable_emotion_before_cluster_PIP.nii.gz,binary_system_mask,5865,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/modifiable_emotion_before_cluster_PIP.nii.gz
modifiable_emotion_consensus_AHAB_PIP.nii.gz,binary_system_mask,13087,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/modifiable_emotion_consensus_AHAB_PIP.nii.gz
non_modifiable_emotion_after_cluster_AHAB.nii.gz,binary_system_mask,18829,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/non_modifiable_emotion_after_cluster_AHAB.nii.gz
non_modifiable_emotion_after_cluster_PIP.nii.gz,binary_system_mask,13290,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/non_modifiable_emotion_after_cluster_PIP.nii.gz
non_modifiable_emotion_before_cluster_AHAB.nii.gz,binary_system_mask,19051,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/non_modifiable_emotion_before_cluster_AHAB.nii.gz
non_modifiable_emotion_before_cluster_PIP.nii.gz,binary_system_mask,13566,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/non_modifiable_emotion_before_cluster_PIP.nii.gz
